functionName,dependency,dependencyType
processZoomChat,stringr,rPackage
processZoomTranscript,stringr,rPackage
textSentiment,paws,rPackage
textSentiment,reshape2,rPackage
textSentiment,comprehend,awsService
grabVideoStills,ffmpeg,system
videoFaceAnalysis,ffmpeg,system
videoFaceAnalysis,paws,rPackage
videoFaceAnalysis,magick,rPackage
videoFaceAnalysis,rekognition,awsService
videoFaceAnalysis,grabVideoStills,internal
textConversationAnalysis,data.table,rPackage
textConversationAnalysis,textSentiment,internal
transcribeZoomAudio,paws,rPackage
transcribeZoomAudio,s3,awsService
processZoomAudio,paws,rPackage
processZoomAudio,jsonlite,rPackage
processZoomAudio,s3,awsService
turnTaking,data.table,rPackage
windowedTextConversationAnalysis,makeTimeWindows,internal
windowedTextConversationAnalysis,textConversationAnalysis,internal